Data processed on: 2025-10-04T15:19:24
iter, measured, state-pred, uncertainty
540,1463.288,1458.441,1.978
541,1467.508,1463.923,1.978
542,1474.258,1469.442,1.978
543,1467.441,1474.727,1.978
544,1486.339,1480.290,1.978
545,1475.501,1485.540,1.978
546,1495.041,1491.080,1.978
547,1505.759,1496.732,1.978
548,1493.445,1502.042,1.978
549,1506.706,1507.516,1.978
550,1512.769,1513.012,1.978
551,1525.552,1518.662,1.978
552,1530.418,1524.307,1.978
553,1520.018,1529.646,1.978
554,1525.515,1534.996,1.978
555,1537.645,1540.488,1.978
556,1541.953,1545.966,1.978
557,1542.574,1551.357,1.978
558,1558.954,1556.973,1.978
559,1569.862,1562.704,1.978
560,1569.1,1568.318,1.978
561,1567.257,1573.795,1.978
562,1583.889,1579.500,1.978
563,1584.515,1585.116,1.978
564,1586.782,1590.675,1.978
565,1590.187,1596.201,1.978
566,1593.74,1601.696,1.978
567,1615.915,1607.529,1.978
568,1621.285,1613.365,1.978
569,1628.23,1619.234,1.978
570,1622.039,1624.876,1.978
571,1627.854,1630.531,1.978
572,1627.767,1636.081,1.978
573,1636.491,1641.702,1.978
574,1639.937,1647.289,1.978
575,1651.125,1652.995,1.978
576,1667.752,1658.927,1.978
577,1665.819,1664.715,1.978
578,1673.705,1670.554,1.978
579,1681.013,1676.432,1.978
580,1686.628,1682.316,1.978
581,1680.309,1687.970,1.978
582,1702.228,1693.953,1.978
583,1694.788,1699.683,1.978
584,1711.149,1705.631,1.978
585,1714.791,1711.545,1.978
586,1714.509,1717.346,1.978
587,1729.22,1723.333,1.978
588,1726.946,1729.168,1.978
589,1732.342,1735.003,1.978
590,1747.17,1741.026,1.978
591,1738.069,1746.760,1.978
592,1756.006,1752.744,1.978
593,1761.776,1758.734,1.978
594,1761.948,1764.619,1.978
595,1769.585,1770.549,1.978
596,1774.19,1776.461,1.978
597,1775.159,1782.286,1.978
598,1783.194,1788.162,1.978
599,1784.009,1793.947,1.978
600,1808.722,1800.115,1.978
601,1805.289,1806.103,1.978
602,1815.386,1812.183,1.978
603,1811.083,1818.068,1.978
604,1815.696,1823.936,1.978
605,1823.212,1829.845,1.978
606,1840.61,1835.990,1.978
607,1847.528,1842.161,1.978
608,1857.575,1848.419,1.978
609,1855.713,1854.528,1.978
610,1856.074,1860.534,1.978
611,1874.568,1866.795,1.978
612,1880.681,1873.065,1.978
613,1882.821,1879.264,1.978
614,1891.6,1885.525,1.978
615,1895.414,1891.749,1.978
616,1892.713,1897.807,1.978
617,1895.309,1903.805,1.978
618,1907.131,1909.926,1.978
619,1912.773,1916.047,1.978
620,1920.232,1922.204,1.978
621,1932.188,1928.484,1.978
622,1930.222,1934.613,1.978
623,1946.338,1940.947,1.978
624,1946.167,1947.164,1.978
625,1958.214,1953.506,1.978
626,1953.549,1959.641,1.978
627,1970.301,1965.994,1.978
628,1967.313,1972.174,1.978
629,1981.384,1978.518,1.978
630,1992.407,1984.965,1.978
631,1990.839,1991.265,1.978
632,1991.835,1997.470,1.978
633,2010.437,2003.928,1.978
634,2002.202,2010.107,1.978
635,2023.631,2016.596,1.978
636,2016.763,2022.832,1.978
637,2032.356,2029.262,1.978
638,2035.964,2035.646,1.978
639,2051.336,2042.218,1.978
640,2045.495,2048.556,1.978
641,2049.865,2054.864,1.978
642,2061.834,2061.293,1.978
643,2061.116,2067.591,1.978
644,2065.295,2073.855,1.978
645,2078.93,2080.273,1.978
646,2080.575,2086.606,1.978
647,2102.12,2093.249,1.978
648,2104.796,2099.825,1.978
649,2106.258,2106.310,1.978
650,2103.065,2112.614,1.978
651,2122.987,2119.195,1.978
652,2131.501,2125.825,1.978
653,2126.803,2132.241,1.978
654,2147.799,2138.955,1.978
655,2149.356,2145.578,1.978
656,2149.27,2152.080,1.978
657,2161.255,2158.699,1.978
658,2158.388,2165.140,1.978
659,2181.352,2171.917,1.978
660,2175.84,2178.462,1.978
661,2193.548,2185.238,1.978
662,2201.065,2192.040,1.978
663,2191.089,2198.521,1.978
664,2200.313,2205.065,1.978
665,2208.361,2211.648,1.978
666,2222.177,2218.382,1.978
667,2220.185,2224.955,1.978
668,2240.655,2231.812,1.978
669,2228.613,2238.306,1.978
670,2245.685,2245.017,1.978
671,2257.236,2251.834,1.978
672,2261.202,2258.606,1.978
673,2272.966,2265.486,1.978
674,2270.674,2272.197,1.978
675,2275.341,2278.876,1.978
676,2290.157,2285.726,1.978
677,2293.323,2292.513,1.978
678,2288.84,2299.087,1.978
679,2309.586,2305.950,1.978
680,2317.088,2312.835,1.978
681,2312.329,2319.501,1.978
682,2321.999,2326.235,1.978
683,2334.554,2333.093,1.978
684,2330.436,2339.744,1.978
685,2340.875,2346.478,1.978
686,2359.586,2353.457,1.978
687,2361.81,2360.353,1.978
688,2375.002,2367.384,1.978
689,2375.586,2374.299,1.978
690,2376.15,2381.098,1.978
691,2377.423,2387.797,1.978
692,2389.458,2394.609,1.978
693,2396.341,2401.431,1.978
694,2408.857,2408.374,1.978
695,2419.448,2415.400,1.978
696,2423.84,2422.384,1.978
697,2423.748,2429.238,1.978
698,2434.993,2436.188,1.978
699,2435.432,2443.019,1.978
700,2457.058,2450.150,1.978
701,2456.67,2457.144,1.978
702,2469.461,2464.263,1.978
703,2479.917,2471.458,1.978
704,2474.382,2478.413,1.978
705,2489.702,2485.542,1.978
706,2482.279,2492.394,1.978
707,2491.933,2499.310,1.978
708,2504.952,2506.354,1.978
709,2510.686,2513.382,1.978
710,2516.081,2520.387,1.978
711,2532.506,2527.587,1.978
712,2539.276,2534.790,1.978
713,2538.205,2541.839,1.978
714,2543.623,2548.866,1.978
715,2562.156,2556.128,1.978
716,2566.728,2563.349,1.978
717,2579.087,2570.682,1.978
718,2585.273,2578.003,1.978
719,2578.388,2585.055,1.978
720,2593.05,2592.265,1.978
721,2605.897,2599.597,1.978
722,2606.522,2606.808,1.978
723,2613.206,2614.018,1.978
724,2617.852,2621.187,1.978
725,2634.448,2628.551,1.978
726,2635.47,2635.801,1.978
727,2650.601,2643.216,1.978
728,2652.108,2650.526,1.978
729,2661.288,2657.883,1.978
730,2660.344,2665.086,1.978
731,2664.062,2672.230,1.978
732,2675.661,2679.469,1.978
733,2681.213,2686.684,1.978
734,2686.982,2693.880,1.978
735,2694.063,2701.081,1.978
736,2714.721,2708.557,1.978
737,2724.762,2716.095,1.978
738,2716.338,2723.329,1.978
739,2725.578,2730.611,1.978
740,2739.368,2738.030,1.978
741,2735.708,2745.240,1.978
742,2761.987,2752.835,1.978
743,2765.567,2760.363,1.978
744,2761.045,2767.663,1.978
745,2768.578,2774.976,1.978
746,2787.621,2782.530,1.978
747,2780.485,2789.803,1.978
748,2790.063,2797.131,1.978
749,2806.132,2804.640,1.978
750,2804.546,2811.978,1.978
751,2813.776,2819.363,1.978
752,2833.105,2826.993,1.978
753,2836.876,2834.557,1.978
754,2849.189,2842.226,1.978
755,2843.383,2849.639,1.978
756,2850.712,2857.059,1.978
757,2872.557,2864.773,1.978
758,2880.593,2872.504,1.978
759,2879.237,2880.068,1.978
760,2894.8,2887.799,1.978
761,2885.664,2895.207,1.978
762,2897.912,2902.720,1.978
763,2920.761,2910.544,1.978
764,2926.151,2918.333,1.978
765,2926.931,2925.993,1.978
766,2937.932,2933.730,1.978
767,2934.366,2941.255,1.978
768,2951.911,2948.985,1.978
769,2962.83,2956.789,1.978
770,2972.537,2964.642,1.978
771,2970.963,2972.320,1.978
772,2983.094,2980.095,1.978
773,2993.078,2987.925,1.978
774,2986.247,2995.475,1.978
775,3003.452,3003.224,1.978
776,3012.085,3011.001,1.978
777,3028.132,3018.951,1.978
778,3033.682,3026.865,1.978
779,3024.225,3034.447,1.978
780,3050.131,3042.399,1.978
781,3046.696,3050.137,1.978
782,3057.095,3057.937,1.978
783,3062.664,3065.702,1.978
784,3064.85,3073.367,1.978
785,3073.208,3081.053,1.978
786,3083.842,3088.805,1.978
787,3102.649,3096.786,1.978
788,3097.725,3104.521,1.978
789,3115.356,3112.461,1.978
790,3123.909,3120.424,1.978
791,3120.046,3128.163,1.978
792,3141.609,3136.184,1.978
793,3141.567,3144.056,1.978
794,3147.389,3151.897,1.978
795,3160.214,3159.845,1.978
796,3158.216,3167.607,1.978
797,3178.511,3175.624,1.978
798,3181.998,3183.562,1.978
799,3195.511,3191.620,1.978
800,3195.634,3199.532,1.978
801,3208.596,3207.552,1.978
802,3210.567,3215.463,1.978
803,3222.777,3223.468,1.978
804,3225.817,3231.384,1.978
805,3247.48,3239.581,1.978
806,3248.544,3247.648,1.978
807,3260.851,3255.808,1.978
808,3262.083,3263.843,1.978
809,3281.557,3272.113,1.978
810,3281.494,3280.231,1.978
811,3288.066,3288.327,1.978
812,3296.618,3296.443,1.978
813,3305.463,3304.582,1.978
814,3322.603,3312.910,1.978
815,3319.738,3321.028,1.978
816,3337.976,3329.356,1.978
817,3339.581,3337.562,1.978
818,3350.169,3345.826,1.978
819,3345.684,3353.848,1.978
820,3368.579,3362.172,1.978
821,3367.533,3370.322,1.978
822,3385.11,3378.668,1.978
823,3387.711,3386.912,1.978
824,3402.218,3395.289,1.978
825,3393.684,3403.343,1.978
826,3408.461,3411.538,1.978
827,3417.113,3419.751,1.978
828,3421.543,3427.898,1.978
829,3440.64,3436.271,1.978
830,3438.871,3444.453,1.978
831,3452.186,3452.746,1.978
832,3455.583,3460.952,1.978
833,3466.749,3469.225,1.978
834,3470.113,3477.410,1.978
835,3495.706,3485.948,1.978
836,3497.225,3494.359,1.978
837,3503.604,3502.740,1.978
838,3508.569,3511.063,1.978
839,3512.455,3519.308,1.978
840,3520.725,3527.562,1.978
841,3533.538,3535.914,1.978
842,3550.746,3544.451,1.978
843,3546.695,3552.750,1.978
844,3559.208,3561.141,1.978
845,3567.125,3569.532,1.978
846,3580.761,3578.036,1.978
847,3579.686,3586.361,1.978
848,3602.168,3594.975,1.978
849,3600.685,3603.400,1.978
850,3607.856,3611.809,1.978
851,3627.181,3620.444,1.978
852,3632.961,3629.033,1.978
853,3633.776,3637.479,1.978
854,3643.882,3645.966,1.978
855,3656.92,3654.553,1.978
856,3666.315,3663.167,1.978
857,3666.703,3671.628,1.978
858,3680.812,3680.210,1.978
859,3686.145,3688.737,1.978
860,3705.822,3697.494,1.978
861,3698.007,3705.935,1.978
862,3708.236,3714.420,1.978
863,3719.078,3722.959,1.978
864,3741.441,3731.781,1.978
865,3741.975,3740.451,1.978
866,3750.86,3749.135,1.978
867,3764.44,3757.927,1.978
868,3767.002,3766.606,1.978
869,3766.137,3775.106,1.978
870,3786.009,3783.839,1.978
871,3792.947,3792.547,1.978
872,3797.699,3801.186,1.978
873,3808.763,3809.883,1.978
874,3821.121,3818.662,1.978
875,3834.797,3827.547,1.978
876,3827.594,3836.126,1.978
877,3836.368,3844.717,1.978
878,3851.256,3853.440,1.978
879,3857.194,3862.118,1.978
880,3867.115,3870.829,1.978
881,3881.204,3879.656,1.978
882,3896.589,3888.622,1.978
883,3901.822,3897.526,1.978
884,3900.559,3906.240,1.978
885,3918.772,3915.150,1.978
886,3919.911,3923.916,1.978
887,3942.365,3932.963,1.978
888,3943.588,3941.867,1.978
889,3945.308,3950.638,1.978
890,3964.134,3959.617,1.978
891,3961.994,3968.387,1.978
892,3980.736,3977.363,1.978
893,3995.296,3986.460,1.978
894,3989.782,3995.279,1.978
895,4010.874,4004.350,1.978
896,4022.899,4013.490,1.978
897,4018.96,4022.383,1.978
898,4032.501,4031.377,1.978
899,4043.664,4040.424,1.978
900,4044.839,4049.326,1.978
901,4059.767,4058.356,1.978
902,4060.551,4067.233,1.978
903,4077.015,4076.269,1.978
904,4082.695,4085.248,1.978
905,4091.921,4094.241,1.978
906,4112.31,4103.469,1.978
907,4107.065,4112.423,1.978
908,4131.46,4121.690,1.978
909,4137.877,4130.913,1.978
910,4133.776,4139.883,1.978
911,4146.952,4148.946,1.978
912,4162.503,4158.146,1.978
913,4165.828,4167.240,1.978
914,4176.057,4176.367,1.978
915,4184.299,4185.485,1.978
916,4201.06,4194.765,1.978
917,4207.208,4203.993,1.978
918,4212.887,4213.162,1.978
919,4218.729,4222.275,1.978
